games,splits,score,wins,loses,draws
98300,2711,-209545,25912,54018,21081
98350,2712,-209615,25925,54044,21093
98400,2713,-209725,25935,54074,21104
98450,2714,-209735,25952,54095,21117
98500,2714,-209885,25963,54124,21127
98550,2719,-210095,25974,54159,21136
98600,2720,-210240,25987,54188,21145
98650,2720,-210380,25997,54215,21158
98700,2722,-210420,26010,54241,21171
98750,2723,-210430,26027,54265,21181
98800,2723,-210570,26038,54296,21189
98850,2725,-210670,26056,54324,21195
98900,2726,-210805,26066,54352,21208
98950,2726,-210930,26077,54377,21222
99000,2727,-210950,26093,54401,21233
99050,2728,-211125,26102,54432,21244
99100,2728,-211195,26116,54456,21256
99150,2730,-211385,26129,54488,21263
99200,2732,-211455,26141,54513,21278
99250,2736,-211455,26157,54538,21291
99300,2740,-211675,26167,54570,21303
99350,2744,-211730,26182,54595,21317
99400,2744,-211875,26195,54627,21322
99450,2745,-211905,26212,54650,21333
99500,2745,-211865,26230,54670,21345
99550,2748,-211860,26247,54691,21360
99600,2752,-211905,26267,54717,21368
99650,2755,-212065,26280,54746,21379
99700,2757,-212320,26286,54779,21392
99750,2757,-212475,26296,54809,21402
99800,2758,-212580,26308,54836,21414
99850,2760,-212690,26320,54862,21428
99900,2760,-212790,26334,54889,21437
99950,2760,-212930,26345,54917,21448
100000,2760,-213075,26355,54946,21459
100050,2764,-213095,26374,54970,21470
100100,2767,-213185,26388,54996,21483
100150,2767,-213220,26403,55019,21495
100200,2767,-213365,26414,55049,21504
100250,2768,-213515,26423,55079,21516
100300,2770,-213675,26432,55110,21528
100350,2770,-213715,26448,55133,21539
100400,2771,-213865,26462,55165,21544
100450,2771,-213845,26485,55186,21550
100500,2775,-213920,26499,55212,21564
100550,2775,-214005,26514,55240,21571
100600,2775,-214185,26527,55271,21577
100650,2776,-214320,26541,55300,21585
100700,2778,-214415,26557,55327,21594
100750,2779,-214590,26570,55359,21600
100800,2779,-214800,26577,55390,21612
100850,2780,-214925,26590,55417,21623
100900,2782,-215010,26605,55442,21635
100950,2782,-215175,26618,55473,21641
101000,2783,-215305,26629,55500,21654
101050,2789,-215375,26645,55526,21668
101100,2789,-215535,26656,55556,21677
101150,2791,-215630,26667,55581,21693
101200,2792,-215765,26681,55610,21701
101250,2792,-216010,26689,55644,21709
101300,2792,-216200,26697,55674,21721
101350,2794,-216160,26718,55694,21732
101400,2795,-216300,26728,55724,21743
101450,2795,-216385,26741,55750,21754
101500,2798,-216530,26755,55780,21763
101550,2799,-216645,26769,55807,21773
101600,2802,-216730,26778,55835,21789
101650,2802,-216865,26790,55865,21797
101700,2805,-217010,26801,55895,21809
101750,2807,-217050,26817,55918,21822
101800,2809,-217220,26827,55948,21834
101850,2811,-217195,26842,55971,21848
101900,2811,-217290,26858,55998,21855
101950,2812,-217395,26871,56026,21865
102000,2819,-217480,26888,56056,21875
102050,2819,-217595,26900,56084,21885
102100,2822,-217735,26909,56113,21900
102150,2824,-217810,26921,56140,21913
102200,2824,-217880,26935,56164,21925
102250,2826,-218015,26949,56193,21934
102300,2830,-218105,26965,56221,21944
102350,2831,-218165,26985,56247,21949
102400,2833,-218265,27001,56276,21956
102450,2833,-218400,27015,56305,21963
102500,2833,-218580,27026,56337,21970
102550,2836,-218780,27039,56370,21977
102600,2836,-218815,27056,56395,21985
102650,2836,-219000,27065,56427,21994
102700,2836,-219060,27076,56453,22007
102750,2836,-219195,27089,56481,22016
102800,2836,-219355,27104,56512,22020
102850,2839,-219355,27125,56536,22028
102900,2839,-219500,27137,56564,22038
102950,2841,-219580,27154,56592,22045
103000,2842,-219680,27165,56619,22058
103050,2843,-219800,27178,56650,22065
103100,2844,-219925,27190,56679,22075
103150,2844,-219940,27206,56701,22087
103200,2848,-220020,27221,56727,22100
103250,2849,-220140,27235,56756,22108
103300,2849,-220120,27255,56777,22117
103350,2850,-220355,27265,56812,22123
103400,2851,-220475,27278,56840,22133
103450,2853,-220500,27295,56864,22144
103500,2854,-220645,27306,56894,22154
103550,2856,-220720,27319,56919,22168
103600,2857,-220890,27332,56949,22176
103650,2859,-220920,27354,56974,22181
103700,2862,-221095,27364,57003,22195
103750,2862,-221275,27372,57032,22208
103800,2866,-221305,27391,57057,22218
103850,2868,-221405,27406,57085,22227
103900,2868,-221450,27420,57111,22237
103950,2871,-221555,27432,57138,22251
104000,2871,-221755,27440,57169,22262
104050,2873,-221825,27454,57196,22273
104100,2875,-221970,27466,57227,22282
104150,2875,-222030,27479,57249,22297
104200,2877,-222045,27493,57275,22309
104250,2877,-222185,27505,57301,22321
104300,2878,-222275,27518,57326,22334
104350,2879,-222440,27529,57358,22342
104400,2879,-222570,27541,57386,22352
104450,2880,-222580,27557,57409,22364
104500,2880,-222690,27573,57436,22371
104550,2881,-222795,27583,57461,22387
104600,2883,-222945,27593,57492,22398
104650,2886,-223090,27606,57524,22406
104700,2889,-223145,27620,57548,22421
104750,2893,-223315,27629,57577,22437
104800,2898,-223315,27649,57600,22449
104850,2899,-223420,27664,57630,22455
104900,2902,-223485,27679,57656,22467
104950,2905,-223600,27691,57681,22483
105000,2905,-223675,27703,57705,22497
105050,2908,-223725,27723,57733,22502
105100,2909,-224040,27729,57772,22508
105150,2909,-224170,27740,57799,22520
105200,2913,-224215,27756,57824,22533
105250,2914,-224385,27766,57854,22544
105300,2916,-224505,27778,57884,22554
105350,2917,-224645,27789,57912,22566
105400,2917,-224860,27798,57944,22575
105450,2919,-224880,27817,57968,22584
105500,2920,-225035,27824,57998,22598
105550,2921,-225160,27837,58028,22606
105600,2923,-225205,27854,58054,22615
105650,2925,-225325,27865,58080,22630
105700,2928,-225470,27877,58111,22640
105750,2929,-225515,27891,58134,22654
105800,2932,-225590,27904,58159,22669
105850,2934,-225610,27920,58183,22681
105900,2935,-225790,27927,58214,22694
105950,2936,-225835,27941,58237,22708
106000,2938,-226000,27952,58266,22720
106050,2938,-226080,27962,58290,22736
106100,2939,-226170,27977,58317,22745
106150,2940,-226170,27994,58340,22756
106200,2941,-226305,28005,58369,22767
106250,2943,-226390,28020,58397,22776
106300,2943,-226470,28032,58423,22788
106350,2945,-226635,28045,58454,22796
106400,2950,-226805,28056,58485,22809
106450,2952,-226935,28068,58513,22821
106500,2953,-227025,28081,58541,22831
106550,2953,-227110,28093,58569,22841
106600,2956,-227235,28105,58598,22853
106650,2957,-227295,28122,58624,22861
106700,2960,-227415,28139,58653,22868
106750,2960,-227560,28153,58683,22874
106800,2962,-227720,28165,58714,22883
106850,2963,-227825,28178,58742,22893
106900,2966,-227990,28187,58772,22907
106950,2966,-228115,28198,58800,22918
107000,2966,-228145,28216,58824,22926
107050,2967,-228190,28232,58849,22936
107100,2968,-228140,28255,58870,22943
107150,2968,-228235,28266,58895,22957
107200,2968,-228215,28281,58914,22973
107250,2970,-228365,28291,58945,22984
107300,2974,-228415,28309,58971,22994
107350,2974,-228345,28331,58989,23004
107400,2975,-228530,28342,59020,23013
107450,2977,-228595,28359,59045,23023
107500,2979,-228635,28373,59069,23037
107550,2979,-228880,28381,59103,23045
107600,2985,-228905,28399,59128,23058
107650,2988,-228950,28417,59152,23069
107700,2989,-228955,28433,59173,23083
107750,2992,-229120,28443,59201,23098
107800,2992,-229180,28458,59225,23109
107850,2994,-229290,28470,59254,23120
107900,2994,-229455,28482,59284,23128
107950,2996,-229550,28495,59311,23140
108000,3003,-229630,28510,59340,23153
108050,3003,-229750,28527,59369,23157
108100,3008,-229815,28539,59398,23171
108150,3008,-230045,28546,59431,23181
108200,3008,-230175,28562,59460,23186
108250,3008,-230325,28575,59491,23192
108300,3010,-230580,28581,59527,23202
108350,3013,-230645,28597,59554,23212
108400,3016,-230780,28610,59582,23224
108450,3018,-230925,28622,59610,23236
108500,3019,-230970,28638,59632,23249
108550,3024,-231035,28656,59658,23260
108600,3024,-231215,28667,59687,23270
108650,3027,-231240,28682,59709,23286
108700,3030,-231340,28696,59736,23298
108750,3030,-231520,28704,59768,23308
108800,3032,-231710,28713,59799,23320
108850,3032,-231870,28722,59827,23333
108900,3033,-232035,28733,59856,23344
108950,3033,-232185,28744,59885,23354
109000,3033,-232315,28758,59915,23360
109050,3035,-232455,28770,59944,23371
109100,3035,-232560,28783,59975,23377
109150,3039,-232600,28798,59997,23394
109200,3039,-232780,28805,60028,23406
109250,3040,-232910,28818,60057,23415
109300,3043,-232950,28835,60081,23427
109350,3044,-233240,28843,60118,23433
109400,3046,-233370,28858,60146,23442
109450,3048,-233385,28869,60169,23460
109500,3048,-233485,28880,60196,23472
109550,3048,-233550,28895,60222,23481
109600,3049,-233740,28902,60254,23493
109650,3049,-233825,28917,60279,23503
109700,3050,-233930,28931,60308,23511
109750,3050,-234115,28943,60340,23517
109800,3051,-234170,28960,60364,23527
109850,3052,-234215,28974,60387,23541
109900,3052,-234385,28982,60415,23555
109950,3053,-234570,28993,60449,23561
110000,3056,-234725,29005,60481,23570
110050,3056,-234820,29017,60507,23582
110100,3057,-234950,29027,60536,23594
110150,3058,-235155,29035,60569,23604
110200,3063,-235130,29053,60589,23621
110250,3066,-235275,29067,60619,23630
110300,3066,-235365,29083,60644,23639
110350,3067,-235515,29097,60673,23647
110400,3068,-235720,29107,60705,23656
110450,3068,-235865,29117,60737,23664
110500,3070,-235995,29131,60767,23672
110550,3070,-236100,29148,60796,23676
110600,3070,-236320,29156,60829,23685
110650,3070,-236450,29168,60857,23695
110700,3072,-236540,29181,60882,23709
110750,3075,-236590,29196,60908,23721
110800,3078,-236730,29211,60940,23727
110850,3079,-236765,29224,60964,23741
110900,3079,-236880,29239,60992,23748
110950,3079,-236865,29254,61013,23762
